date,city,country,temperature,humidity,pressure,wind_speed,wind_direction,weather_type,weather_description,day_of_week,month
2024-05-31,Delhi,India,37.6,12,975.3,12.9,295,Cloudy,Partly cloudy,Friday,May
2024-06-01,Delhi,India,37.4,17,976.8,15.6,283,Cloudy,Overcast,Saturday,June
2024-06-02,Delhi,India,36.4,25,978.3,11.1,293,Cloudy,Overcast,Sunday,June
2024-06-03,Delhi,India,36.9,25,977.1,14.3,284,Cloudy,Partly cloudy,Monday,June
2024-06-04,Delhi,India,36.9,19,976.7,11.8,278,Clear,Mainly clear,Tuesday,June
2024-06-05,Delhi,India,36.6,23,977.8,16.1,289,Cloudy,Partly cloudy,Wednesday,June
2024-06-06,Delhi,India,35.0,28,980.0,12.3,308,Clear,Mainly clear,Thursday,June
2024-06-07,Delhi,India,35.2,30,977.9,15.0,296,Cloudy,Overcast,Friday,June
2024-06-08,Delhi,India,34.7,27,977.0,15.4,304,Cloudy,Overcast,Saturday,June
2024-06-09,Delhi,India,35.1,23,976.7,13.4,310,Clear,Clear sky,Sunday,June
2024-06-10,Delhi,India,36.0,18,976.8,13.5,292,Cloudy,Partly cloudy,Monday,June
2024-06-11,Delhi,India,36.3,19,976.3,11.3,290,Clear,Mainly clear,Tuesday,June
2024-06-12,Delhi,India,36.9,17,975.9,11.9,288,Clear,Clear sky,Wednesday,June
2024-06-13,Delhi,India,37.6,20,974.9,18.1,282,Clear,Mainly clear,Thursday,June
2024-06-14,Delhi,India,37.5,28,974.6,22.3,275,Cloudy,Overcast,Friday,June
2024-06-15,Delhi,India,37.7,27,974.7,19.4,286,Clear,Clear sky,Saturday,June
2024-06-16,Delhi,India,38.4,25,975.0,18.0,284,Clear,Clear sky,Sunday,June
2024-06-17,Delhi,India,38.9,25,974.9,19.3,280,Clear,Mainly clear,Monday,June
2024-06-18,Delhi,India,38.9,25,972.9,20.1,279,Clear,Mainly clear,Tuesday,June
2024-06-19,Delhi,India,37.0,35,971.4,18.7,269,Drizzle,Moderate drizzle,Wednesday,June
2024-06-20,Delhi,India,34.0,45,973.2,8.2,219,Rain,Moderate rain,Thursday,June
2024-06-21,Delhi,India,32.5,53,975.3,9.6,331,Rain,Slight rain,Friday,June
2024-06-22,Delhi,India,33.7,51,975.2,7.5,30,Cloudy,Overcast,Saturday,June
2024-06-23,Delhi,India,34.5,51,975.8,10.2,96,Drizzle,Light drizzle,Sunday,June
2024-06-24,Delhi,India,34.1,54,974.6,8.0,96,Rain,Slight rain,Monday,June
2024-06-25,Delhi,India,32.9,62,973.7,8.0,122,Rain,Moderate rain,Tuesday,June
2024-06-26,Delhi,India,31.0,73,974.3,10.9,106,Rain,Heavy rain,Wednesday,June
2024-06-27,Delhi,India,28.3,84,976.8,13.5,108,Rain,Moderate rain,Thursday,June
2024-06-28,Delhi,India,27.8,85,976.0,8.6,127,Rain,Moderate rain,Friday,June
2024-06-29,Delhi,India,29.3,80,974.5,7.1,196,Rain,Moderate rain,Saturday,June
2024-06-30,Delhi,India,30.7,74,973.8,6.4,304,Rain,Heavy rain,Sunday,June
2024-07-01,Delhi,India,30.1,79,971.6,7.1,275,Rain,Moderate rain,Monday,July
2024-07-02,Delhi,India,29.3,84,970.7,7.6,178,Rain,Moderate rain,Tuesday,July
2024-07-03,Delhi,India,29.3,83,973.1,8.4,149,Drizzle,Moderate drizzle,Wednesday,July
2024-07-04,Delhi,India,28.0,83,975.3,7.8,84,Rain,Slight rain,Thursday,July
2024-07-05,Delhi,India,27.8,85,972.5,9.6,70,Drizzle,Light drizzle,Friday,July
2024-07-06,Delhi,India,28.6,80,971.3,9.0,67,Drizzle,Light drizzle,Saturday,July
2024-07-07,Delhi,India,28.6,76,974.4,6.8,67,Drizzle,Light drizzle,Sunday,July
2024-07-08,Delhi,India,28.9,76,977.4,7.6,34,Cloudy,Overcast,Monday,July
2024-07-09,Delhi,India,29.5,80,978.4,6.5,97,Rain,Slight rain,Tuesday,July
2024-07-10,Delhi,India,30.4,79,978.2,6.2,161,Rain,Moderate rain,Wednesday,July
2024-07-11,Delhi,India,31.2,76,974.1,9.2,230,Rain,Slight rain,Thursday,July
2024-07-12,Delhi,India,30.3,74,972.4,9.2,266,Drizzle,Light drizzle,Friday,July
2024-07-13,Delhi,India,29.9,77,973.2,5.5,324,Rain,Heavy rain,Saturday,July
2024-07-14,Delhi,India,31.1,72,973.1,4.7,90,Drizzle,Light drizzle,Sunday,July
2024-07-15,Delhi,India,30.2,76,975.8,11.3,90,Drizzle,Dense drizzle,Monday,July
2024-07-16,Delhi,India,30.7,77,976.4,10.7,98,Rain,Moderate rain,Tuesday,July
2024-07-17,Delhi,India,31.2,75,976.2,10.6,102,Drizzle,Light drizzle,Wednesday,July
2024-07-18,Delhi,India,31.2,76,974.9,7.6,117,Drizzle,Moderate drizzle,Thursday,July
2024-07-19,Delhi,India,30.5,77,973.8,7.7,113,Drizzle,Light drizzle,Friday,July
2024-07-20,Delhi,India,31.0,75,974.5,8.3,118,Drizzle,Light drizzle,Saturday,July
2024-07-21,Delhi,India,31.1,78,974.5,9.7,118,Drizzle,Dense drizzle,Sunday,July
2024-07-22,Delhi,India,30.9,78,974.7,8.4,116,Rain,Moderate rain,Monday,July
2024-07-23,Delhi,India,30.4,80,973.7,5.6,102,Rain,Moderate rain,Tuesday,July
2024-07-24,Delhi,India,29.5,82,970.5,5.2,91,Rain,Moderate rain,Wednesday,July
2024-07-25,Delhi,India,30.8,76,969.6,4.7,36,Drizzle,Light drizzle,Thursday,July
2024-07-26,Delhi,India,29.9,81,971.4,6.7,41,Rain,Moderate rain,Friday,July
2024-07-27,Delhi,India,30.5,81,973.5,5.8,83,Rain,Moderate rain,Saturday,July
2024-07-28,Delhi,India,31.4,77,973.7,9.1,98,Rain,Moderate rain,Sunday,July
2024-07-29,Delhi,India,31.8,73,973.8,11.9,107,Drizzle,Light drizzle,Monday,July
2024-07-30,Delhi,India,32.8,70,975.0,10.9,130,Drizzle,Light drizzle,Tuesday,July
2024-07-31,Delhi,India,31.0,78,975.0,7.2,199,Rain,Heavy rain,Wednesday,July
2024-08-01,Delhi,India,28.2,85,974.7,6.5,157,Rain,Heavy rain,Thursday,August
2024-08-02,Delhi,India,28.4,83,973.6,11.1,115,Drizzle,Dense drizzle,Friday,August
2024-08-03,Delhi,India,28.9,82,975.3,13.5,123,Drizzle,Moderate drizzle,Saturday,August
2024-08-04,Delhi,India,29.7,74,976.8,17.3,91,Drizzle,Light drizzle,Sunday,August
2024-08-05,Delhi,India,29.0,76,976.4,22.0,112,Drizzle,Light drizzle,Monday,August
2024-08-06,Delhi,India,29.0,76,975.4,11.3,178,Drizzle,Light drizzle,Tuesday,August
2024-08-07,Delhi,India,27.3,86,976.5,7.1,209,Rain,Moderate rain,Wednesday,August
2024-08-08,Delhi,India,27.6,87,977.9,7.5,133,Rain,Slight rain,Thursday,August
2024-08-09,Delhi,India,27.8,87,979.0,6.0,101,Rain,Heavy rain,Friday,August
2024-08-10,Delhi,India,27.6,87,978.0,5.6,75,Rain,Moderate rain,Saturday,August
2024-08-11,Delhi,India,27.3,89,976.7,6.3,106,Rain,Moderate rain,Sunday,August
2024-08-12,Delhi,India,26.7,91,977.7,7.6,79,Rain,Moderate rain,Monday,August
2024-08-13,Delhi,India,27.3,90,978.8,9.0,84,Rain,Moderate rain,Tuesday,August
2024-08-14,Delhi,India,28.0,89,979.2,6.8,84,Rain,Moderate rain,Wednesday,August
2024-08-15,Delhi,India,28.4,87,978.1,9.5,106,Rain,Moderate rain,Thursday,August
2024-08-16,Delhi,India,27.8,88,977.5,10.9,113,Rain,Moderate rain,Friday,August
2024-08-17,Delhi,India,28.5,86,979.8,5.8,353,Rain,Moderate rain,Saturday,August
2024-08-18,Delhi,India,29.1,83,980.6,8.7,281,Drizzle,Dense drizzle,Sunday,August
2024-08-19,Delhi,India,29.0,82,979.6,7.6,284,Drizzle,Moderate drizzle,Monday,August
2024-08-20,Delhi,India,28.2,85,979.7,5.0,231,Rain,Slight rain,Tuesday,August
2024-08-21,Delhi,India,28.4,86,980.8,4.4,123,Rain,Slight rain,Wednesday,August
2024-08-22,Delhi,India,28.2,86,979.8,4.9,255,Rain,Moderate rain,Thursday,August
2024-08-23,Delhi,India,27.4,86,980.3,5.3,77,Drizzle,Moderate drizzle,Friday,August
2024-08-24,Delhi,India,28.3,84,979.8,6.0,50,Rain,Moderate rain,Saturday,August
2024-08-25,Delhi,India,28.8,79,977.6,16.5,88,Rain,Moderate rain,Sunday,August
2024-08-26,Delhi,India,28.2,83,977.5,15.4,100,Rain,Slight rain,Monday,August
2024-08-27,Delhi,India,27.2,85,979.5,17.3,114,Rain,Moderate rain,Tuesday,August
2024-08-28,Delhi,India,26.8,87,979.4,10.2,120,Rain,Moderate rain,Wednesday,August
2024-08-29,Delhi,India,26.9,87,979.4,10.4,124,Rain,Moderate rain,Thursday,August
2024-08-30,Delhi,India,27.5,88,981.4,5.7,95,Rain,Moderate rain,Friday,August
2024-08-31,Delhi,India,29.2,79,980.8,8.4,314,Cloudy,Overcast,Saturday,August
2024-09-01,Delhi,India,29.6,76,980.4,8.1,327,Drizzle,Light drizzle,Sunday,September
2024-09-02,Delhi,India,28.0,84,981.2,10.3,110,Rain,Moderate rain,Monday,September
2024-09-03,Delhi,India,27.4,87,981.6,8.6,87,Rain,Heavy rain,Tuesday,September
2024-09-04,Delhi,India,27.2,87,979.5,5.9,320,Drizzle,Light drizzle,Wednesday,September
2024-09-05,Delhi,India,27.5,84,977.6,3.5,282,Drizzle,Dense drizzle,Thursday,September
2024-09-06,Delhi,India,26.5,89,979.2,7.1,108,Rain,Moderate rain,Friday,September
2024-09-07,Delhi,India,26.8,88,980.3,5.0,109,Rain,Moderate rain,Saturday,September
2024-09-08,Delhi,India,27.6,87,979.9,5.2,313,Rain,Moderate rain,Sunday,September
2024-09-09,Delhi,India,28.4,82,977.9,6.2,321,Rain,Moderate rain,Monday,September
2024-09-10,Delhi,India,27.2,89,977.4,3.6,69,Rain,Moderate rain,Tuesday,September
2024-09-11,Delhi,India,27.5,89,977.0,7.3,356,Rain,Heavy rain,Wednesday,September
2024-09-12,Delhi,India,25.4,91,975.3,16.9,7,Rain,Heavy rain,Thursday,September
2024-09-13,Delhi,India,25.4,89,976.3,13.9,286,Rain,Heavy rain,Friday,September
2024-09-14,Delhi,India,26.0,84,978.7,10.1,294,Rain,Moderate rain,Saturday,September
2024-09-15,Delhi,India,26.4,79,979.2,11.2,290,Drizzle,Light drizzle,Sunday,September
2024-09-16,Delhi,India,27.2,73,980.6,12.0,289,Clear,Clear sky,Monday,September
2024-09-17,Delhi,India,27.6,74,982.0,7.1,303,Cloudy,Overcast,Tuesday,September
2024-09-18,Delhi,India,24.9,86,980.9,10.7,35,Rain,Heavy rain,Wednesday,September
2024-09-19,Delhi,India,26.2,85,980.8,11.3,88,Rain,Moderate rain,Thursday,September
2024-09-20,Delhi,India,27.2,80,981.1,6.7,134,Cloudy,Overcast,Friday,September
2024-09-21,Delhi,India,27.9,79,982.3,4.7,188,Drizzle,Light drizzle,Saturday,September
2024-09-22,Delhi,India,29.0,77,981.7,5.7,305,Cloudy,Overcast,Sunday,September
2024-09-23,Delhi,India,28.9,78,981.1,6.7,295,Clear,Clear sky,Monday,September
2024-09-24,Delhi,India,29.3,77,980.1,3.8,229,Clear,Mainly clear,Tuesday,September
2024-09-25,Delhi,India,29.0,81,980.4,10.6,119,Drizzle,Light drizzle,Wednesday,September
2024-09-26,Delhi,India,27.9,82,980.4,10.7,116,Drizzle,Light drizzle,Thursday,September
2024-09-27,Delhi,India,27.3,80,980.1,10.5,95,Drizzle,Light drizzle,Friday,September
2024-09-28,Delhi,India,26.3,81,981.9,7.9,74,Cloudy,Overcast,Saturday,September
2024-09-29,Delhi,India,26.4,83,984.5,6.8,59,Drizzle,Light drizzle,Sunday,September
2024-09-30,Delhi,India,27.7,77,983.6,8.5,288,Cloudy,Overcast,Monday,September
2024-10-01,Delhi,India,28.3,76,980.9,8.6,283,Clear,Clear sky,Tuesday,October
2024-10-02,Delhi,India,28.9,73,980.3,9.3,270,Clear,Clear sky,Wednesday,October
2024-10-03,Delhi,India,28.6,66,979.8,10.5,284,Clear,Clear sky,Thursday,October
2024-10-04,Delhi,India,28.3,68,981.0,8.8,269,Clear,Clear sky,Friday,October
2024-10-05,Delhi,India,28.4,66,983.1,10.0,272,Clear,Mainly clear,Saturday,October
2024-10-06,Delhi,India,27.8,65,986.3,9.0,306,Clear,Mainly clear,Sunday,October
2024-10-07,Delhi,India,26.7,71,988.3,6.8,318,Clear,Clear sky,Monday,October
2024-10-08,Delhi,India,27.0,70,987.7,7.1,334,Clear,Clear sky,Tuesday,October
2024-10-09,Delhi,India,26.5,65,985.8,7.3,301,Clear,Clear sky,Wednesday,October
2024-10-10,Delhi,India,26.1,60,985.0,9.6,299,Cloudy,Overcast,Thursday,October
2024-10-11,Delhi,India,25.0,56,985.1,9.2,282,Cloudy,Partly cloudy,Friday,October
2024-10-12,Delhi,India,25.3,61,985.7,8.0,279,Clear,Clear sky,Saturday,October
2024-10-13,Delhi,India,26.0,57,986.6,6.4,303,Cloudy,Overcast,Sunday,October
2024-10-14,Delhi,India,25.7,55,987.1,6.3,312,Cloudy,Partly cloudy,Monday,October
2024-10-15,Delhi,India,25.2,57,986.2,9.1,284,Clear,Clear sky,Tuesday,October
2024-10-16,Delhi,India,25.7,57,985.2,6.7,260,Cloudy,Overcast,Wednesday,October
2024-10-17,Delhi,India,26.3,63,985.8,6.1,104,Cloudy,Overcast,Thursday,October
2024-10-18,Delhi,India,26.1,65,985.7,6.3,136,Clear,Clear sky,Friday,October
2024-10-19,Delhi,India,26.8,63,986.0,5.8,178,Clear,Clear sky,Saturday,October
2024-10-20,Delhi,India,26.5,68,987.3,6.8,94,Clear,Mainly clear,Sunday,October
2024-10-21,Delhi,India,25.6,70,987.9,6.5,63,Clear,Clear sky,Monday,October
2024-10-22,Delhi,India,25.6,67,988.8,7.2,41,Clear,Clear sky,Tuesday,October
2024-10-23,Delhi,India,26.1,61,988.2,10.0,312,Clear,Clear sky,Wednesday,October
2024-10-24,Delhi,India,25.5,59,986.9,10.9,309,Clear,Clear sky,Thursday,October
2024-10-25,Delhi,India,25.0,61,986.1,10.4,302,Clear,Clear sky,Friday,October
2024-10-26,Delhi,India,24.6,66,986.1,8.8,338,Clear,Clear sky,Saturday,October
2024-10-27,Delhi,India,25.2,74,985.3,6.6,114,Clear,Clear sky,Sunday,October
2024-10-28,Delhi,India,25.7,71,984.1,7.5,154,Clear,Clear sky,Monday,October
2024-10-29,Delhi,India,26.4,70,984.5,6.6,159,Clear,Clear sky,Tuesday,October
2024-10-30,Delhi,India,27.0,65,985.2,7.6,330,Clear,Clear sky,Wednesday,October
2024-10-31,Delhi,India,26.1,63,986.8,11.0,295,Clear,Clear sky,Thursday,October
2024-11-01,Delhi,India,24.9,53,987.6,11.9,293,Clear,Clear sky,Friday,November
2024-11-02,Delhi,India,24.4,54,988.7,7.1,293,Clear,Clear sky,Saturday,November
2024-11-03,Delhi,India,24.4,54,989.6,6.6,31,Clear,Clear sky,Sunday,November
2024-11-04,Delhi,India,23.7,62,988.2,6.7,297,Clear,Clear sky,Monday,November
2024-11-05,Delhi,India,23.4,71,990.1,6.4,86,Clear,Clear sky,Tuesday,November
2024-11-06,Delhi,India,23.9,67,990.4,5.6,296,Clear,Clear sky,Wednesday,November
2024-11-07,Delhi,India,24.2,67,989.6,5.7,147,Clear,Clear sky,Thursday,November
2024-11-08,Delhi,India,24.6,66,989.4,5.4,146,Clear,Clear sky,Friday,November
2024-11-09,Delhi,India,24.5,68,989.6,7.8,145,Clear,Clear sky,Saturday,November
2024-11-10,Delhi,India,24.3,69,989.5,6.5,109,Clear,Clear sky,Sunday,November
2024-11-11,Delhi,India,23.9,74,989.4,6.1,77,Clear,Clear sky,Monday,November
2024-11-12,Delhi,India,24.9,60,989.0,7.4,260,Clear,Clear sky,Tuesday,November
2024-11-13,Delhi,India,24.1,56,988.1,5.5,299,Clear,Clear sky,Wednesday,November
2024-11-14,Delhi,India,24.1,55,990.1,3.3,304,Clear,Clear sky,Thursday,November
2024-11-15,Delhi,India,23.7,51,989.5,6.0,299,Clear,Clear sky,Friday,November
2024-11-16,Delhi,India,23.3,55,988.6,5.5,298,Clear,Clear sky,Saturday,November
2024-11-17,Delhi,India,22.9,58,989.1,4.9,297,Clear,Clear sky,Sunday,November
2024-11-18,Delhi,India,20.8,60,990.7,5.4,292,Clear,Clear sky,Monday,November
2024-11-19,Delhi,India,20.1,51,991.7,5.8,289,Clear,Clear sky,Tuesday,November
2024-11-20,Delhi,India,19.8,50,990.6,5.5,288,Clear,Clear sky,Wednesday,November
2024-11-21,Delhi,India,19.7,51,990.1,5.4,289,Clear,Clear sky,Thursday,November
2024-11-22,Delhi,India,20.3,54,989.9,4.6,293,Clear,Clear sky,Friday,November
2024-11-23,Delhi,India,20.9,51,990.4,4.2,249,Clear,Clear sky,Saturday,November
2024-11-24,Delhi,India,21.4,48,990.2,7.4,271,Clear,Clear sky,Sunday,November
2024-11-25,Delhi,India,20.6,57,990.2,7.7,286,Clear,Clear sky,Monday,November
2024-11-26,Delhi,India,19.7,56,990.4,6.5,286,Clear,Clear sky,Tuesday,November
2024-11-27,Delhi,India,19.8,49,989.9,4.3,300,Clear,Clear sky,Wednesday,November
2024-11-28,Delhi,India,19.4,50,991.4,3.4,333,Clear,Clear sky,Thursday,November
2024-11-29,Delhi,India,18.9,59,992.1,2.4,347,Clear,Clear sky,Friday,November
2024-11-30,Delhi,India,18.9,60,990.2,4.3,307,Clear,Clear sky,Saturday,November
2024-12-01,Delhi,India,19.4,61,988.5,4.8,301,Clear,Clear sky,Sunday,December
2024-12-02,Delhi,India,19.5,58,988.7,4.9,300,Clear,Clear sky,Monday,December
2024-12-03,Delhi,India,20.1,56,990.8,6.6,307,Clear,Clear sky,Tuesday,December
2024-12-04,Delhi,India,20.1,50,989.9,9.8,298,Clear,Clear sky,Wednesday,December
2024-12-05,Delhi,India,17.8,45,989.4,8.2,283,Clear,Clear sky,Thursday,December
2024-12-06,Delhi,India,17.5,47,988.3,7.2,287,Clear,Clear sky,Friday,December
2024-12-07,Delhi,India,16.9,44,987.9,3.4,283,Clear,Clear sky,Saturday,December
2024-12-08,Delhi,India,16.1,56,987.7,8.2,124,Drizzle,Dense drizzle,Sunday,December
2024-12-09,Delhi,India,15.3,65,990.0,4.3,36,Clear,Clear sky,Monday,December
2024-12-10,Delhi,India,14.5,53,992.0,8.3,304,Clear,Clear sky,Tuesday,December
2024-12-11,Delhi,India,13.9,47,991.7,8.0,292,Clear,Clear sky,Wednesday,December
2024-12-12,Delhi,India,14.2,52,991.1,7.5,299,Clear,Clear sky,Thursday,December
2024-12-13,Delhi,India,14.8,48,992.3,11.9,296,Clear,Clear sky,Friday,December
2024-12-14,Delhi,India,14.6,44,992.5,9.6,287,Clear,Clear sky,Saturday,December
2024-12-15,Delhi,India,14.3,51,993.8,4.4,298,Clear,Clear sky,Sunday,December
2024-12-16,Delhi,India,14.2,67,992.1,3.4,314,Clear,Clear sky,Monday,December
2024-12-17,Delhi,India,14.2,74,990.7,2.8,325,Cloudy,Overcast,Tuesday,December
2024-12-18,Delhi,India,14.0,69,990.2,4.2,279,Cloudy,Overcast,Wednesday,December
2024-12-19,Delhi,India,14.5,62,990.3,4.4,123,Clear,Clear sky,Thursday,December
2024-12-20,Delhi,India,16.2,62,990.1,4.1,5,Clear,Clear sky,Friday,December
2024-12-21,Delhi,India,15.5,65,990.6,4.9,320,Clear,Mainly clear,Saturday,December
2024-12-22,Delhi,India,16.3,60,990.4,3.3,134,Cloudy,Overcast,Sunday,December
2024-12-23,Delhi,India,14.5,68,990.4,6.7,98,Drizzle,Dense drizzle,Monday,December
2024-12-24,Delhi,India,14.7,77,991.7,5.3,46,Drizzle,Light drizzle,Tuesday,December
2024-12-25,Delhi,India,15.1,78,993.5,5.2,319,Clear,Mainly clear,Wednesday,December
2024-12-26,Delhi,India,16.1,68,995.2,3.1,350,Cloudy,Overcast,Thursday,December
2024-12-27,Delhi,India,15.1,84,993.7,7.6,64,Rain,Moderate rain,Friday,December
2024-12-28,Delhi,India,14.9,89,993.3,5.4,338,Rain,Moderate rain,Saturday,December
2024-12-29,Delhi,India,13.7,86,995.0,8.1,307,Cloudy,Overcast,Sunday,December
2024-12-30,Delhi,India,12.7,87,994.2,7.6,290,Cloudy,Overcast,Monday,December
2024-12-31,Delhi,India,11.3,89,995.2,3.5,297,Cloudy,Overcast,Tuesday,December
2025-01-01,Delhi,India,11.1,89,993.4,5.8,294,Cloudy,Overcast,Wednesday,January
2025-01-02,Delhi,India,12.4,85,992.6,6.7,287,Cloudy,Overcast,Thursday,January
2025-01-03,Delhi,India,12.8,86,992.4,4.2,286,Cloudy,Overcast,Friday,January
2025-01-04,Delhi,India,13.5,89,990.3,4.2,127,Cloudy,Overcast,Saturday,January
2025-01-05,Delhi,India,12.4,90,990.4,6.4,124,Cloudy,Overcast,Sunday,January
2025-01-06,Delhi,India,13.0,89,991.5,4.9,325,Rain,Moderate rain,Monday,January
2025-01-07,Delhi,India,13.0,88,992.1,9.9,295,Cloudy,Overcast,Tuesday,January
2025-01-08,Delhi,India,12.7,75,990.3,8.8,282,Clear,Clear sky,Wednesday,January
2025-01-09,Delhi,India,12.8,77,992.6,2.7,316,Clear,Clear sky,Thursday,January
2025-01-10,Delhi,India,12.1,85,994.2,4.5,106,Cloudy,Overcast,Friday,January
2025-01-11,Delhi,India,12.2,88,992.9,6.8,103,Rain,Slight rain,Saturday,January
2025-01-12,Delhi,India,13.2,87,993.5,4.3,68,Drizzle,Light drizzle,Sunday,January
2025-01-13,Delhi,India,13.4,86,993.2,6.8,296,Cloudy,Overcast,Monday,January
2025-01-14,Delhi,India,13.2,83,993.5,4.7,300,Clear,Clear sky,Tuesday,January
2025-01-15,Delhi,India,13.0,87,994.4,3.4,115,Rain,Slight rain,Wednesday,January
2025-01-16,Delhi,India,13.9,84,995.4,4.3,45,Drizzle,Light drizzle,Thursday,January
2025-01-17,Delhi,India,13.2,81,994.8,6.8,308,Clear,Clear sky,Friday,January
2025-01-18,Delhi,India,12.3,86,993.0,4.2,289,Cloudy,Overcast,Saturday,January
2025-01-19,Delhi,India,14.6,86,991.7,3.2,324,Cloudy,Overcast,Sunday,January
2025-01-20,Delhi,India,16.3,83,990.0,7.5,287,Clear,Mainly clear,Monday,January
2025-01-21,Delhi,India,16.0,78,988.8,7.4,289,Clear,Clear sky,Tuesday,January
2025-01-22,Delhi,India,16.2,75,988.4,4.7,304,Clear,Mainly clear,Wednesday,January
2025-01-23,Delhi,India,16.3,71,990.0,7.1,306,Rain,Slight rain,Thursday,January
2025-01-24,Delhi,India,14.9,67,990.2,9.1,287,Clear,Clear sky,Friday,January
2025-01-25,Delhi,India,14.2,63,989.8,9.1,273,Clear,Clear sky,Saturday,January
2025-01-26,Delhi,India,14.1,62,989.4,7.2,275,Clear,Clear sky,Sunday,January
2025-01-27,Delhi,India,14.4,62,988.2,7.0,277,Clear,Clear sky,Monday,January
2025-01-28,Delhi,India,15.3,58,987.8,5.5,270,Clear,Clear sky,Tuesday,January
