date,city,country,aqi,pm25,pm10,o3,no2,so2,co,no,nh3
2024-04-18T16:00:00+00:00,Delhi,IN,5,124.14,193.14,0.07,80.2,82.02,2803.8,16.32,44.58
2024-04-18T17:00:00+00:00,Delhi,IN,5,126.62,195.15,0.05,74.71,78.2,2750.4,17.21,44.08
2024-04-18T18:00:00+00:00,Delhi,IN,5,99.49,152.12,0.8,67.86,61.99,2189.64,9.16,35.46
2024-04-18T19:00:00+00:00,Delhi,IN,4,71.16,106.91,3.08,58.95,46.25,1628.88,2.51,25.59
2024-04-18T20:00:00+00:00,Delhi,IN,4,62.46,91.68,4.25,50.72,40.05,1415.25,1.55,22.29
2024-04-18T21:00:00+00:00,Delhi,IN,4,60.18,87.88,6.17,45.93,38.15,1308.44,0.94,21.03
2024-04-18T22:00:00+00:00,Delhi,IN,4,60.39,87.97,8.4,43.18,38.15,1268.39,0.59,20.77
2024-04-18T23:00:00+00:00,Delhi,IN,4,60.08,87.08,12.52,41.13,38.15,1241.68,0.26,21.79
2024-04-19T00:00:00+00:00,Delhi,IN,4,58.35,83.95,16.63,40.78,37.19,1214.98,0.15,23.31
2024-04-19T01:00:00+00:00,Delhi,IN,3,42.29,63.29,37.91,36.33,41.01,947.95,0.13,18.49
2024-04-19T02:00:00+00:00,Delhi,IN,3,43.59,69.24,32.9,41.47,48.64,1121.52,5.59,21.28
2024-04-19T03:00:00+00:00,Delhi,IN,3,41.43,70.92,43.99,40.1,51.5,1161.58,11.73,21.53
2024-04-19T04:00:00+00:00,Delhi,IN,2,14.9,33.56,70.81,15.42,22.65,540.73,4.02,8.04
2024-04-19T05:00:00+00:00,Delhi,IN,2,11.84,24.62,90.12,10.45,18.12,440.6,2.4,5.7
2024-04-19T06:00:00+00:00,Delhi,IN,3,12.1,22.44,104.43,9.08,17.4,410.56,1.84,4.94
2024-04-19T07:00:00+00:00,Delhi,IN,3,10.46,19.3,101.57,8.74,15.26,380.52,1.4,4.18
2024-04-19T08:00:00+00:00,Delhi,IN,2,10.05,19.94,97.27,9,14.42,373.84,1.45,4.05
2024-04-19T09:00:00+00:00,Delhi,IN,2,10.69,22.14,97.27,9.68,14.66,377.18,1.47,4.37
2024-04-19T10:00:00+00:00,Delhi,IN,2,11.01,23.53,95.84,10.88,15.26,387.19,1.38,4.75
2024-04-19T11:00:00+00:00,Delhi,IN,2,11.3,24.96,87.26,14.39,17.4,417.23,1.33,5.32
2024-04-19T12:00:00+00:00,Delhi,IN,2,11.81,26.89,73.67,19.54,19.79,467.3,0.98,6.02
2024-04-19T13:00:00+00:00,Delhi,IN,3,43.63,78.39,17.52,71.29,45.3,1548.77,7.71,20.77
2024-04-19T14:00:00+00:00,Delhi,IN,5,108.6,176.8,0.02,87.74,84.88,3097.53,40.23,43.57
2024-04-19T15:00:00+00:00,Delhi,IN,5,183.48,284.42,0,93.22,120.16,4432.68,66.16,64.34
2024-04-19T16:00:00+00:00,Delhi,IN,5,246.86,375.3,0,94.59,143.05,5393.98,80.47,77.01
2024-04-19T17:00:00+00:00,Delhi,IN,5,289.18,432.67,0,95.96,154.5,5874.63,86.72,80.05
2024-04-19T18:00:00+00:00,Delhi,IN,5,257.91,388.42,0,95.96,139.24,5180.36,70.63,66.88
2024-04-19T19:00:00+00:00,Delhi,IN,5,163.43,258.85,0,87.74,98.23,3471.37,37.1,46.1
2024-04-19T20:00:00+00:00,Delhi,IN,5,126.43,205.59,0,76.77,81.06,2723.69,25.03,41.54
2024-04-19T21:00:00+00:00,Delhi,IN,5,111.43,181.78,0,67.17,74.39,2349.85,20.56,42.56
2024-04-19T22:00:00+00:00,Delhi,IN,5,95.78,157.32,0.02,57.58,64.85,1976.01,16.32,43.06
2024-04-19T23:00:00+00:00,Delhi,IN,5,76.41,128.67,0.09,46.61,51.5,1562.12,11.51,40.53
2024-04-20T00:00:00+00:00,Delhi,IN,4,63.35,108.85,0.21,39.07,39.58,1308.44,9.39,35.97
2024-04-20T01:00:00+00:00,Delhi,IN,4,71.09,117.27,0.21,38.04,37.67,1522.06,17.21,31.92
2024-04-20T02:00:00+00:00,Delhi,IN,5,101.95,164.64,4.07,42.16,51.5,2296.45,42.02,39.01
2024-04-20T03:00:00+00:00,Delhi,IN,5,122.2,197.45,14.13,57.58,60.08,2883.91,54.09,43.57
2024-04-20T04:00:00+00:00,Delhi,IN,4,59.79,107.98,80.82,44.55,51.02,1321.79,10.84,29.64
2024-04-20T05:00:00+00:00,Delhi,IN,4,64.27,107.42,150.2,34.62,53.41,1094.82,4.97,28.88
2024-04-20T06:00:00+00:00,Delhi,IN,5,91.03,131.86,237.46,27.42,56.74,1054.76,2.54,30.65
2024-04-20T07:00:00+00:00,Delhi,IN,5,41.46,76.33,194.55,9.6,22.17,507.35,1.01,10.77
2024-04-20T08:00:00+00:00,Delhi,IN,4,26.98,58.43,175.95,7.45,15.02,397.21,0.87,5.76
2024-04-20T09:00:00+00:00,Delhi,IN,4,24.4,53.16,173.09,7.8,14.42,383.85,0.88,5.19
2024-04-20T10:00:00+00:00,Delhi,IN,4,22.14,48.72,164.51,8.14,13.83,373.84,0.85,4.94
2024-04-20T11:00:00+00:00,Delhi,IN,4,19.64,44.65,154.5,9.51,13.71,373.84,0.85,4.75
2024-04-20T12:00:00+00:00,Delhi,IN,4,17.64,41.8,144.48,11.48,13.71,383.85,0.67,4.62
2024-04-20T13:00:00+00:00,Delhi,IN,3,29.31,59.94,113.01,33.93,26.46,781.06,0.5,10.64
2024-04-20T14:00:00+00:00,Delhi,IN,3,47.89,87.85,85.12,47.3,42.44,1201.63,0,19
2024-04-20T15:00:00+00:00,Delhi,IN,4,57.65,102.48,72.24,45.93,46.25,1375.2,0,23.56
2024-04-20T16:00:00+00:00,Delhi,IN,4,60.85,107,62.94,43.53,45.78,1401.9,0,26.35
2024-04-20T17:00:00+00:00,Delhi,IN,4,55.82,99.08,59.37,37.7,41.01,1268.39,0,26.09
2024-04-20T18:00:00+00:00,Delhi,IN,3,42.12,76.06,62.94,29.82,31.95,974.66,0,22.29
2024-04-20T19:00:00+00:00,Delhi,IN,3,25.5,44.91,72.96,20.22,23.6,607.49,0,17.73
2024-04-20T20:00:00+00:00,Delhi,IN,2,24.33,38.31,70.81,18.68,23.6,567.44,0,17.99
2024-04-20T21:00:00+00:00,Delhi,IN,3,26.73,39.39,67.95,19.54,26.46,594.14,0,19
2024-04-20T22:00:00+00:00,Delhi,IN,3,30.03,43.12,64.37,20.91,28.85,627.52,0,20.52
2024-04-20T23:00:00+00:00,Delhi,IN,3,33.44,47.54,57.94,22.96,30.52,680.92,0,22.55
2024-04-21T00:00:00+00:00,Delhi,IN,3,37.75,53.34,49.35,26.73,33.38,761.03,0,24.57
2024-04-21T01:00:00+00:00,Delhi,IN,3,46.45,66.08,37.55,35.64,39.58,947.95,0.14,28.12
2024-04-21T02:00:00+00:00,Delhi,IN,4,62.6,90.62,32.54,45.93,51.02,1321.79,5.87,33.44
2024-04-21T03:00:00+00:00,Delhi,IN,4,70.9,102.82,54.36,50.04,61.04,1495.36,11.73,33.44
2024-04-21T04:00:00+00:00,Delhi,IN,4,63.68,90.51,103,43.18,66.76,1188.28,7.93,27.87
2024-04-21T05:00:00+00:00,Delhi,IN,4,73.96,100.04,171.66,35.99,68.66,1108.17,4.58,26.85
2024-04-21T06:00:00+00:00,Delhi,IN,5,87.95,111.45,251.77,25.36,63.9,1014.71,2.21,24.32
2024-04-21T07:00:00+00:00,Delhi,IN,5,36.25,46.47,180.24,9.17,21.7,520.71,0.89,10.26
2024-04-21T08:00:00+00:00,Delhi,IN,4,21.71,29.49,151.63,7.37,13.59,417.23,0.82,6.52
2024-04-21T09:00:00+00:00,Delhi,IN,4,19.91,28.15,151.63,7.37,12.99,400.54,0.85,5.95
2024-04-21T10:00:00+00:00,Delhi,IN,4,19.78,29.05,147.34,8.23,13.23,400.54,0.87,6.14
2024-04-21T11:00:00+00:00,Delhi,IN,3,20.34,31.11,138.76,11.14,14.66,433.92,0.94,6.65
2024-04-21T12:00:00+00:00,Delhi,IN,3,21.62,34.13,127.32,15.25,15.97,480.65,0.73,7.35
2024-04-21T13:00:00+00:00,Delhi,IN,3,27.64,43.77,110.15,24.33,23.6,647.54,0.23,10.26
2024-04-21T14:00:00+00:00,Delhi,IN,3,37.09,57.99,92.98,30.85,32.9,854.49,0,15.2
2024-04-21T15:00:00+00:00,Delhi,IN,3,42.34,65.56,85.83,31.19,35.76,947.95,0,18.49
2024-04-21T16:00:00+00:00,Delhi,IN,3,45.64,69.66,82.97,31.19,38.62,988.01,0,20.27
2024-04-21T17:00:00+00:00,Delhi,IN,3,47.5,72.68,80.82,31.19,39.1,1014.71,0,21.28
2024-04-21T18:00:00+00:00,Delhi,IN,3,42.2,65.34,80.11,28.79,33.86,894.55,0,20.27
2024-04-21T19:00:00+00:00,Delhi,IN,3,32.56,50.34,80.82,23.99,27.42,720.98,0,17.99
2024-04-21T20:00:00+00:00,Delhi,IN,3,31.31,46.99,76.53,22.96,29.33,694.27,0,18.49
2024-04-21T21:00:00+00:00,Delhi,IN,3,32.76,48,70.81,23.31,31.95,700.95,0,20.01
2024-04-21T22:00:00+00:00,Delhi,IN,3,36.02,51.66,61.51,24.68,33.86,747.68,0,22.04
2024-04-21T23:00:00+00:00,Delhi,IN,3,42.17,59.76,49.35,28.79,37.19,854.49,0,23.81
2024-04-22T00:00:00+00:00,Delhi,IN,4,52.08,73.19,34.69,37.36,43.87,1028.06,0.01,26.09
2024-04-22T01:00:00+00:00,Delhi,IN,4,72.34,102.22,14.31,54.15,57.22,1441.96,1.62,32.42
2024-04-22T02:00:00+00:00,Delhi,IN,5,105,150.8,9.75,63.06,78.2,2189.64,19,43.06
2024-04-22T03:00:00+00:00,Delhi,IN,5,120.24,171.62,28.97,71.97,96.32,2483.37,28.39,46.1
2024-04-22T04:00:00+00:00,Delhi,IN,5,106.72,144.72,77.96,73.34,118.26,1895.9,15.65,37.49
2024-04-22T05:00:00+00:00,Delhi,IN,5,118.94,156.54,144.48,71.97,125.89,1789.09,8.94,35.46
2024-04-22T06:00:00+00:00,Delhi,IN,5,125.44,159.84,228.88,57.58,118.26,1588.82,4.19,32.42
2024-04-22T07:00:00+00:00,Delhi,IN,5,49.64,65.71,191.69,16.96,39.1,667.57,1.24,13.17
2024-04-22T08:00:00+00:00,Delhi,IN,4,29.22,44.37,160.22,11.14,20.5,480.65,0.94,8.61
2024-04-22T09:00:00+00:00,Delhi,IN,4,25.06,40.96,148.77,11.14,18.36,460.62,0.94,7.73
2024-04-22T10:00:00+00:00,Delhi,IN,4,23.31,39.43,140.19,11.65,17.64,447.27,0.94,7.28
2024-04-22T11:00:00+00:00,Delhi,IN,3,23.2,39.43,133.04,13.88,18.12,467.3,1.01,7.47
2024-04-22T12:00:00+00:00,Delhi,IN,3,23.19,39.29,123.02,16.96,18.6,494,0.79,7.92
2024-04-22T13:00:00+00:00,Delhi,IN,3,37.56,61.34,87.26,44.55,33.38,961.3,0.45,15.07
2024-04-22T14:00:00+00:00,Delhi,IN,4,62.63,99.67,50.07,67.86,52.45,1588.82,0.01,25.33
2024-04-22T15:00:00+00:00,Delhi,IN,5,78.58,122.94,37.19,68.55,59.6,1842.5,0,31.66
2024-04-22T16:00:00+00:00,Delhi,IN,5,90.79,140.1,31.11,68.55,64.85,2029.42,0,35.97
2024-04-22T17:00:00+00:00,Delhi,IN,5,110.43,168.06,19.67,75.4,74.39,2323.15,0.1,40.53
2024-04-22T18:00:00+00:00,Delhi,IN,5,113.56,176.96,9.66,77.46,74.39,2349.85,0.64,40.02
2024-04-22T19:00:00+00:00,Delhi,IN,5,101.58,164.57,3.49,71.29,65.8,2109.53,2.74,33.44
2024-04-22T20:00:00+00:00,Delhi,IN,5,103.8,166.68,0.55,64.43,62.94,2056.12,6.76,31.66
2024-04-22T21:00:00+00:00,Delhi,IN,5,108.73,169.33,0.45,56.89,61.99,2002.72,7.49,31.66
2024-04-22T22:00:00+00:00,Delhi,IN,5,112.58,168.27,0.76,52.09,60.08,1949.31,6.26,31.66
2024-04-22T23:00:00+00:00,Delhi,IN,5,111.64,159.04,1.94,52.09,60.08,1842.5,3.8,30.4
2024-04-23T00:00:00+00:00,Delhi,IN,5,102.89,142.26,6.08,53.47,60.08,1708.98,1.52,28.88
2024-04-23T01:00:00+00:00,Delhi,IN,5,95.71,132.05,10.19,57.58,63.9,1708.98,1.63,29.64
2024-04-23T02:00:00+00:00,Delhi,IN,5,123.15,171.66,12.52,67.86,82.02,2403.26,16.32,39.01
2024-04-23T03:00:00+00:00,Delhi,IN,5,167.26,231.2,32.54,91.85,106.81,3311.16,30.85,49.14
2024-04-23T04:00:00+00:00,Delhi,IN,5,180.92,243.17,98.71,111.04,135.42,3284.45,19.22,46.1
2024-04-23T05:00:00+00:00,Delhi,IN,5,237.18,303.16,231.74,108.3,162.12,3337.86,9.05,44.58
2024-04-23T06:00:00+00:00,Delhi,IN,5,317.49,391.73,429.15,83.63,169.75,3337.86,3.63,41.54
2024-04-23T07:00:00+00:00,Delhi,IN,5,69.64,97.6,237.46,18.68,47.68,834.47,1.33,11.78
2024-04-23T08:00:00+00:00,Delhi,IN,5,34.02,54.11,188.83,10.88,23.37,473.98,1.06,6.97
2024-04-23T09:00:00+00:00,Delhi,IN,4,27.62,45.21,177.38,10.28,19.79,427.25,1.08,6.4
2024-04-23T10:00:00+00:00,Delhi,IN,4,25.66,42.03,173.09,10.45,18.84,420.57,1.01,6.27
2024-04-23T11:00:00+00:00,Delhi,IN,4,25.93,42.13,167.37,12.51,20.74,433.92,0.92,6.46
2024-04-23T12:00:00+00:00,Delhi,IN,4,25.61,42.15,155.93,15.42,21.93,453.95,0.62,6.9
2024-04-23T13:00:00+00:00,Delhi,IN,3,32.38,53.35,127.32,29.13,35.29,674.25,0.22,11.27
2024-04-23T14:00:00+00:00,Delhi,IN,3,41.61,70.26,98.71,38.04,46.25,921.25,0,17.23
2024-04-23T15:00:00+00:00,Delhi,IN,3,45.8,79.46,84.4,37.36,47.68,1014.71,0,20.52
2024-04-23T16:00:00+00:00,Delhi,IN,3,49.45,84.62,69.38,41.47,58.17,1081.47,0,23.56
2024-04-23T17:00:00+00:00,Delhi,IN,4,51.77,86.53,55.79,47.98,68.66,1134.87,0,25.59
2024-04-23T18:00:00+00:00,Delhi,IN,3,45.65,76.1,52.93,45.24,59.6,1041.41,0,24.07
2024-04-23T19:00:00+00:00,Delhi,IN,3,38.41,63.21,55.07,38.39,45.78,894.55,0,21.28
2024-04-23T20:00:00+00:00,Delhi,IN,3,40.81,63.81,53.64,34.62,41.96,921.25,0,21.79
2024-04-23T21:00:00+00:00,Delhi,IN,3,45.25,68.48,48.64,32.9,41.96,988.01,0,23.05
2024-04-23T22:00:00+00:00,Delhi,IN,4,57.89,85.52,35.05,37.7,47.21,1188.28,0,25.08
2024-04-23T23:00:00+00:00,Delhi,IN,5,79.84,114.92,15.02,50.04,58.17,1548.77,0.36,26.85
2024-04-24T00:00:00+00:00,Delhi,IN,5,107.73,152.44,1.37,61.01,71.53,2002.72,6.87,29.64
2024-04-24T01:00:00+00:00,Delhi,IN,5,152.69,214.22,0.13,66.49,91.55,2830.51,30.4,39.52
2024-04-24T02:00:00+00:00,Delhi,IN,5,212.1,299.83,3.17,74.71,116.35,4165.65,74.21,58.77
2024-04-24T03:00:00+00:00,Delhi,IN,5,220.76,316.17,12.7,98.71,116.35,4646.3,91.2,67.89
2024-04-24T04:00:00+00:00,Delhi,IN,5,105.41,144.19,72.24,79.51,104.9,1949.31,21.46,36.98
2024-04-24T05:00:00+00:00,Delhi,IN,5,89.92,118.57,155.93,55.52,84.88,1401.9,8.05,28.37
2024-04-24T06:00:00+00:00,Delhi,IN,5,91.72,115.65,251.77,36.33,72.48,1134.87,3.27,24.07
2024-04-24T07:00:00+00:00,Delhi,IN,5,37.59,53.2,194.55,10.28,23.37,507.35,1.09,8.99
2024-04-24T08:00:00+00:00,Delhi,IN,4,22.59,34.31,161.65,7.8,14.66,410.56,1.01,6.33
2024-04-24T09:00:00+00:00,Delhi,IN,4,19.32,29.34,154.5,8.05,13.59,400.54,1.02,6.02
2024-04-24T10:00:00+00:00,Delhi,IN,4,17.3,26.54,147.34,8.57,12.76,400.54,1.02,6.02
2024-04-24T11:00:00+00:00,Delhi,IN,4,16.83,26.31,143.05,10.45,13.47,417.23,1.05,6.21
2024-04-24T12:00:00+00:00,Delhi,IN,3,16.94,27.5,134.47,13.02,14.42,440.6,0.82,6.52
2024-04-24T13:00:00+00:00,Delhi,IN,3,23.15,37.03,120.16,23.31,25.03,594.14,0.32,9.88
2024-04-24T14:00:00+00:00,Delhi,IN,3,30.14,46.64,104.43,28.1,32.9,747.68,0,14.19
2024-04-24T15:00:00+00:00,Delhi,IN,3,34.71,52.14,103,26.73,34.33,814.44,0,16.47
2024-04-24T16:00:00+00:00,Delhi,IN,3,41.53,60.57,105.86,27.76,37.67,907.9,0,18.75
2024-04-24T17:00:00+00:00,Delhi,IN,3,45.94,65.65,104.43,28.79,38.62,947.95,0,20.01
2024-04-24T18:00:00+00:00,Delhi,IN,3,42.45,58.84,104.43,26.05,34.33,867.84,0,18.24
2024-04-24T19:00:00+00:00,Delhi,IN,3,37.97,50.41,101.57,22.96,30.28,747.68,0,16.47
2024-04-24T20:00:00+00:00,Delhi,IN,3,39.41,51.67,92.98,21.76,30.99,747.68,0,17.99
2024-04-24T21:00:00+00:00,Delhi,IN,3,42.27,55.46,85.83,22.28,32.9,774.38,0,19.76
2024-04-24T22:00:00+00:00,Delhi,IN,3,49.05,64.74,75.1,24.68,35.76,867.84,0,21.53
2024-04-24T23:00:00+00:00,Delhi,IN,4,61.23,81.83,59.37,30.85,40.53,1068.12,0,23.56
2024-04-25T00:00:00+00:00,Delhi,IN,5,77.85,105.2,38.98,42.5,47.68,1348.5,0.01,26.6
2024-04-25T01:00:00+00:00,Delhi,IN,5,111.06,153.31,11.8,65.12,62.94,2002.72,4.41,35.97
2024-04-25T02:00:00+00:00,Delhi,IN,5,162.38,227.52,7.33,78.83,87.74,3124.24,33.53,50.66
2024-04-25T03:00:00+00:00,Delhi,IN,5,163.38,227.03,27.18,90.48,100.14,3231.05,40.23,51.17
2024-04-25T04:00:00+00:00,Delhi,IN,5,126.67,168.79,85.83,80.2,108.72,2136.23,16.32,40.53
2024-04-25T05:00:00+00:00,Delhi,IN,5,139.39,177.87,177.38,66.49,112.53,1869.2,8.05,36.48
2024-04-25T06:00:00+00:00,Delhi,IN,5,146.2,178.34,294.69,42.16,101.09,1495.36,3.1,31.92
2024-04-25T07:00:00+00:00,Delhi,IN,5,54.86,68.67,220.3,11.65,30.28,627.52,1.06,12.67
2024-04-25T08:00:00+00:00,Delhi,IN,5,31.41,42.49,183.11,8.83,17.17,473.98,0.99,8.36
2024-04-25T09:00:00+00:00,Delhi,IN,4,25.87,36.83,173.09,8.91,15.5,447.27,1.02,7.41
2024-04-25T10:00:00+00:00,Delhi,IN,4,22.72,33.62,163.08,9.42,14.78,427.25,1.01,6.84
2024-04-25T11:00:00+00:00,Delhi,IN,4,22.12,33.43,157.36,11.82,15.5,447.27,1.05,7.09
2024-04-25T12:00:00+00:00,Delhi,IN,4,21.95,33.73,148.77,14.91,16.45,473.98,0.83,7.6
2024-04-25T13:00:00+00:00,Delhi,IN,3,34.37,53.19,115.87,39.07,31.47,867.84,0.5,14.06
2024-04-25T14:00:00+00:00,Delhi,IN,4,51.02,79.21,82.97,52.78,43.87,1281.74,0,22.29
2024-04-25T15:00:00+00:00,Delhi,IN,4,59.49,91.63,70.81,50.72,45.3,1401.9,0,26.35
2024-04-25T16:00:00+00:00,Delhi,IN,4,68.81,104.16,65.09,52.09,49.59,1535.42,0,29.89
2024-04-25T17:00:00+00:00,Delhi,IN,5,82.44,123.21,53.64,57.58,56.74,1789.09,0,33.94
2024-04-25T18:00:00+00:00,Delhi,IN,5,80.84,121.43,41.48,58.26,54.36,1762.39,0,32.42
2024-04-25T19:00:00+00:00,Delhi,IN,4,62.44,95.11,39.34,49.35,42.92,1401.9,0,27.11
2024-04-25T20:00:00+00:00,Delhi,IN,4,53.42,80.07,45.06,41.13,38.62,1161.58,0,25.59
2024-04-25T21:00:00+00:00,Delhi,IN,4,51.37,74.44,50.78,36.67,39.1,1041.41,0,25.33
2024-04-25T22:00:00+00:00,Delhi,IN,4,58.83,82.92,45.78,38.39,43.39,1121.52,0,25.33
2024-04-25T23:00:00+00:00,Delhi,IN,4,74.03,103.22,32.19,45.93,50.54,1348.5,0.01,26.35
2024-04-26T00:00:00+00:00,Delhi,IN,5,92.56,129.72,13.77,58.26,59.6,1668.93,0.73,29.89
2024-04-26T01:00:00+00:00,Delhi,IN,5,125.07,176.4,0.94,69.23,77.25,2349.85,15.87,41.54
2024-04-26T02:00:00+00:00,Delhi,IN,5,177.86,252.71,4.83,78.14,102.04,3578.19,55.43,56.74
2024-04-26T03:00:00+00:00,Delhi,IN,5,208.48,293.81,17.17,106.93,116.35,4432.68,73.31,61.81
2024-04-26T04:00:00+00:00,Delhi,IN,5,151.46,204.66,81.54,113.79,123.98,2910.61,25.26,46.61
2024-04-26T05:00:00+00:00,Delhi,IN,5,165.18,213.41,191.69,102.82,131.61,2590.18,11.29,42.56
2024-04-26T06:00:00+00:00,Delhi,IN,5,202.96,247.55,357.63,76.77,129.7,2376.56,4.53,39.52
2024-04-26T07:00:00+00:00,Delhi,IN,5,62.78,83.83,243.19,17.99,41.01,714.3,1.4,12.03
2024-04-26T08:00:00+00:00,Delhi,IN,5,38.21,57.66,197.41,11.14,20.98,480.65,1.08,7.6
2024-04-26T09:00:00+00:00,Delhi,IN,5,32.34,51.14,181.67,11.14,18.36,453.95,1.08,6.84
2024-04-26T10:00:00+00:00,Delhi,IN,4,33.58,52.97,168.8,17.99,24.56,534.06,1.55,8.23
2024-04-26T11:00:00+00:00,Delhi,IN,4,39.12,60.73,150.2,31.19,33.38,741,2.1,11.15
2024-04-26T12:00:00+00:00,Delhi,IN,3,42.88,66.46,123.02,44.55,36.24,947.95,1.7,13.68
2024-04-26T13:00:00+00:00,Delhi,IN,4,56.98,89.42,77.96,69.92,44.35,1455.31,0.57,20.77
2024-04-26T14:00:00+00:00,Delhi,IN,5,82.72,130.32,36.48,89.11,56.27,2082.82,0.01,30.4
2024-04-26T15:00:00+00:00,Delhi,IN,5,100.93,156.95,21.28,93.22,61.99,2376.56,0.05,35.97
2024-04-26T16:00:00+00:00,Delhi,IN,5,121.68,186.22,8.4,97.33,70.57,2696.99,2.1,41.54
2024-04-26T17:00:00+00:00,Delhi,IN,5,160.97,241.8,0.12,100.08,87.74,3391.27,16.32,49.14
2024-04-26T18:00:00+00:00,Delhi,IN,5,172.24,257.53,0.01,97.33,91.55,3578.19,23.02,46.1
2024-04-26T19:00:00+00:00,Delhi,IN,5,143.65,216.28,0.04,90.48,78.2,2990.72,15.87,34.45
2024-04-26T20:00:00+00:00,Delhi,IN,5,134.95,196.28,0.18,87.05,76.29,2670.29,9.61,27.87
2024-04-26T21:00:00+00:00,Delhi,IN,5,147.35,202.63,0.58,94.59,83.92,2750.4,5.76,26.35
2024-04-26T22:00:00+00:00,Delhi,IN,5,158.16,209.26,1.11,100.08,86.78,2857.21,3.74,26.35
2024-04-26T23:00:00+00:00,Delhi,IN,5,144.77,185.76,2.21,94.59,82.02,2590.18,2.21,23.56
2024-04-27T00:00:00+00:00,Delhi,IN,5,104.6,134.62,6.62,74.03,60.56,1869.2,0.83,21.28
2024-04-27T01:00:00+00:00,Delhi,IN,4,50.99,73.12,28.25,41.81,32.42,1054.76,0.1,19
2024-04-27T02:00:00+00:00,Delhi,IN,3,41,67.1,20.74,39.76,28.37,1081.47,4.19,23.31
2024-04-27T03:00:00+00:00,Delhi,IN,3,41.75,74.74,29.68,40.78,30.52,1201.63,11.4,24.07
2024-04-27T04:00:00+00:00,Delhi,IN,3,32.95,67.2,75.82,28.45,27.66,774.38,4.92,17.73
2024-04-27T05:00:00+00:00,Delhi,IN,3,36.82,73.71,115.87,23.65,29.8,680.92,2.99,17.73
2024-04-27T06:00:00+00:00,Delhi,IN,4,43.59,83.37,164.51,19.19,31.47,620.84,1.77,17.23
2024-04-27T07:00:00+00:00,Delhi,IN,4,32.53,74.6,148.77,7.28,12.64,380.52,0.72,7.66
2024-04-27T08:00:00+00:00,Delhi,IN,4,29.29,70.68,140.19,6.43,10.37,350.48,0.69,5.83
