date,city,country,aqi,pm25,pm10,o3,no2,so2,co,no,nh3,aqi_cpcb,aqi_category
2024-01-01T17:00:00+00:00,Delhi,IN,5.0,534.6,658.38,0.0,76.77,51.5,5661.01,77.78,23.31,400,Very Poor
2024-01-01T18:00:00+00:00,Delhi,IN,5.0,494.07,603.86,0.0,69.92,41.96,5020.14,67.06,17.99,400,Very Poor
2024-01-01T19:00:00+00:00,Delhi,IN,5.0,415.47,497.32,0.0,63.75,30.99,3952.03,47.83,11.27,400,Very Poor
2024-01-01T20:00:00+00:00,Delhi,IN,5.0,368.06,428.01,0.0,58.26,27.18,3257.75,31.74,9.37,400,Very Poor
2024-01-01T21:00:00+00:00,Delhi,IN,5.0,344.1,384.4,0.01,54.15,25.99,2857.21,22.35,8.74,400,Very Poor
2024-01-01T22:00:00+00:00,Delhi,IN,5.0,329.99,360.45,0.03,50.72,25.51,2616.88,17.21,8.74,400,Very Poor
2024-01-01T23:00:00+00:00,Delhi,IN,5.0,325.29,351.1,0.06,49.35,26.46,2510.07,15.2,9.12,400,Very Poor
2024-01-02T00:00:00+00:00,Delhi,IN,5.0,331.5,356.44,0.06,50.72,29.56,2590.18,17.66,10.51,400,Very Poor
2024-01-02T01:00:00+00:00,Delhi,IN,5.0,350.16,380.5,0.03,55.52,37.67,3017.43,29.06,14.82,400,Very Poor
2024-01-02T02:00:00+00:00,Delhi,IN,5.0,392.68,441.89,0.0,61.01,51.02,4005.43,59.9,21.79,400,Very Poor
2024-01-02T03:00:00+00:00,Delhi,IN,5.0,385.2,443.25,0.04,67.86,60.08,4432.68,76.89,23.56,400,Very Poor
2024-01-02T04:00:00+00:00,Delhi,IN,5.0,281.25,317.56,3.49,87.05,113.49,2616.88,25.48,14.19,400,Very Poor
2024-01-02T05:00:00+00:00,Delhi,IN,5.0,271.22,309.04,7.6,85.0,139.24,2510.07,33.97,15.07,400,Very Poor
2024-01-02T06:00:00+00:00,Delhi,IN,5.0,261.36,300.21,11.18,84.31,158.31,2429.96,42.02,16.97,400,Very Poor
2024-01-02T07:00:00+00:00,Delhi,IN,5.0,223.9,257.25,26.82,79.51,143.05,2029.42,32.63,13.3,400,Very Poor
2024-01-02T08:00:00+00:00,Delhi,IN,5.0,201.57,233.15,36.48,80.2,131.61,1949.31,27.49,13.43,400,Very Poor
2024-01-02T09:00:00+00:00,Delhi,IN,5.0,201.53,234.58,41.13,87.05,139.24,1976.01,26.6,14.69,400,Very Poor
2024-01-02T10:00:00+00:00,Delhi,IN,5.0,251.82,299.73,25.39,105.56,127.79,2830.51,41.57,24.83,400,Very Poor
2024-01-02T11:00:00+00:00,Delhi,IN,5.0,333.11,406.97,6.79,122.01,104.9,4379.27,79.57,35.46,400,Very Poor
2024-01-02T12:00:00+00:00,Delhi,IN,5.0,394.57,491.62,0.57,127.49,97.27,5767.82,126.96,40.53,400,Very Poor
2024-01-02T13:00:00+00:00,Delhi,IN,5.0,454.24,574.45,0.0,128.87,105.86,6835.94,159.14,52.18,400,Very Poor
2024-01-02T14:00:00+00:00,Delhi,IN,5.0,509.23,651.7,0.0,126.12,110.63,7476.81,159.14,61.81,400,Very Poor
2024-01-02T15:00:00+00:00,Delhi,IN,5.0,538.1,691.69,0.0,117.9,107.77,7476.81,139.47,64.85,400,Very Poor
2024-01-02T16:00:00+00:00,Delhi,IN,5.0,546.88,700.47,0.0,109.67,103.0,7156.37,119.81,63.84,400,Very Poor
2024-01-02T17:00:00+00:00,Delhi,IN,5.0,546.32,696.2,0.0,100.08,100.14,6782.53,104.61,63.33,400,Very Poor
2024-01-02T18:00:00+00:00,Delhi,IN,5.0,499.2,632.33,0.0,90.48,87.74,5981.45,86.72,54.21,400,Very Poor
2024-01-02T19:00:00+00:00,Delhi,IN,5.0,421.07,527.22,0.0,79.51,66.76,4806.52,65.27,38.0,400,Very Poor
2024-01-02T20:00:00+00:00,Delhi,IN,5.0,382.69,473.97,0.0,71.29,53.41,4058.84,49.17,27.87,400,Very Poor
2024-01-02T21:00:00+00:00,Delhi,IN,5.0,368.24,448.33,0.0,65.8,45.78,3685.0,41.57,22.04,400,Very Poor
2024-01-02T22:00:00+00:00,Delhi,IN,5.0,359.97,417.57,0.0,61.01,41.01,3417.97,38.0,18.75,400,Very Poor
2024-01-02T23:00:00+00:00,Delhi,IN,5.0,353.95,394.23,0.0,58.26,40.53,3311.16,36.66,17.73,400,Very Poor
2024-01-03T00:00:00+00:00,Delhi,IN,5.0,361.36,389.0,0.0,56.89,45.3,3417.97,41.57,19.0,400,Very Poor
2024-01-03T01:00:00+00:00,Delhi,IN,5.0,398.63,425.33,0.0,58.95,58.17,4005.43,61.69,25.33,400,Very Poor
2024-01-03T02:00:00+00:00,Delhi,IN,5.0,491.49,530.84,0.0,63.75,78.2,5500.79,109.08,36.48,400,Very Poor
2024-01-03T03:00:00+00:00,Delhi,IN,5.0,569.24,617.49,0.01,69.92,92.51,6942.75,162.72,41.04,400,Very Poor
2024-01-03T04:00:00+00:00,Delhi,IN,5.0,520.89,565.53,0.13,76.09,118.26,6195.07,144.84,32.42,400,Very Poor
2024-01-03T05:00:00+00:00,Delhi,IN,5.0,533.52,593.66,0.89,82.94,135.42,6248.47,150.2,29.39,400,Very Poor
2024-01-03T06:00:00+00:00,Delhi,IN,5.0,529.06,594.44,2.68,94.59,154.5,5981.45,141.26,26.6,400,Very Poor
2024-01-03T07:00:00+00:00,Delhi,IN,5.0,445.92,490.03,8.4,124.75,247.96,3952.03,98.35,10.64,400,Very Poor
2024-01-03T08:00:00+00:00,Delhi,IN,5.0,441.05,482.12,12.52,139.83,274.66,3417.97,87.62,5.51,400,Very Poor
2024-01-03T09:00:00+00:00,Delhi,IN,5.0,471.27,516.71,13.05,154.91,297.55,3631.59,84.94,6.65,400,Very Poor
2024-01-03T10:00:00+00:00,Delhi,IN,5.0,510.96,571.7,11.09,157.65,244.14,4432.68,93.88,16.97,400,Very Poor
2024-01-03T11:00:00+00:00,Delhi,IN,5.0,561.74,647.92,3.58,156.28,162.12,5661.01,118.02,27.61,400,Very Poor
2024-01-03T12:00:00+00:00,Delhi,IN,5.0,582.39,689.82,0.4,149.43,120.16,6675.72,151.99,32.42,400,Very Poor
2024-01-03T13:00:00+00:00,Delhi,IN,5.0,602.3,730.07,0.0,142.57,106.81,7476.81,171.66,40.53,400,Very Poor
2024-01-03T14:00:00+00:00,Delhi,IN,5.0,619.13,763.49,0.0,128.87,91.55,7690.43,157.36,41.54,400,Very Poor
2024-01-03T15:00:00+00:00,Delhi,IN,5.0,610.0,761.67,0.0,108.3,74.39,7370.0,128.75,35.46,400,Very Poor
2024-01-03T16:00:00+00:00,Delhi,IN,5.0,590.02,737.89,0.0,91.85,64.85,6942.75,108.18,30.65,400,Very Poor
2024-01-03T17:00:00+00:00,Delhi,IN,5.0,578.21,724.22,0.0,80.88,65.8,6568.91,100.14,31.16,400,Very Poor
2024-01-03T18:00:00+00:00,Delhi,IN,5.0,532.24,667.09,0.0,74.03,63.9,5874.63,93.88,28.12,400,Very Poor
2024-01-03T19:00:00+00:00,Delhi,IN,5.0,459.81,572.34,0.0,68.55,53.41,4859.92,80.47,20.77,400,Very Poor
2024-01-03T20:00:00+00:00,Delhi,IN,5.0,418.29,510.35,0.0,63.06,41.96,4165.65,65.27,15.07,400,Very Poor
2024-01-03T21:00:00+00:00,Delhi,IN,5.0,391.0,457.85,0.0,57.58,33.38,3631.59,52.75,11.27,400,Very Poor
2024-01-03T22:00:00+00:00,Delhi,IN,5.0,368.26,414.52,0.0,52.09,28.61,3177.64,42.02,9.75,400,Very Poor
2024-01-03T23:00:00+00:00,Delhi,IN,5.0,358.32,392.91,0.0,48.67,29.8,2964.02,37.1,10.51,400,Very Poor
2024-01-04T00:00:00+00:00,Delhi,IN,5.0,369.35,400.25,0.0,47.98,36.24,3044.13,41.13,13.17,400,Very Poor
2024-01-04T01:00:00+00:00,Delhi,IN,5.0,411.82,450.72,0.0,50.04,50.07,3631.59,59.01,20.77,400,Very Poor
2024-01-04T02:00:00+00:00,Delhi,IN,5.0,489.29,555.27,0.0,53.47,65.8,4859.92,100.14,30.15,400,Very Poor
2024-01-04T03:00:00+00:00,Delhi,IN,5.0,513.97,596.78,0.1,58.95,73.43,5607.6,130.53,31.41,400,Very Poor
2024-01-04T04:00:00+00:00,Delhi,IN,5.0,457.47,531.07,1.81,70.6,82.97,4966.74,103.71,26.85,400,Very Poor
2024-01-04T05:00:00+00:00,Delhi,IN,5.0,440.1,513.74,7.87,84.31,94.41,4753.11,84.94,27.87,400,Very Poor
2024-01-04T06:00:00+00:00,Delhi,IN,5.0,414.53,481.66,23.6,95.96,103.0,4219.06,56.33,28.12,400,Very Poor
2024-01-04T07:00:00+00:00,Delhi,IN,5.0,288.19,322.23,63.66,71.29,108.72,2109.53,17.43,5.57,400,Very Poor
2024-01-04T08:00:00+00:00,Delhi,IN,5.0,261.79,289.96,77.25,66.49,104.9,1708.98,11.06,1.61,400,Very Poor
2024-01-04T09:00:00+00:00,Delhi,IN,5.0,272.09,302.26,72.96,81.57,123.98,1789.09,10.17,2.6,400,Very Poor
2024-01-04T10:00:00+00:00,Delhi,IN,5.0,332.97,380.38,33.62,120.64,129.7,2857.21,24.36,16.47,400,Very Poor
2024-01-04T11:00:00+00:00,Delhi,IN,5.0,424.83,498.17,6.44,143.95,117.3,4486.08,64.37,33.94,400,Very Poor
2024-01-04T12:00:00+00:00,Delhi,IN,5.0,495.34,590.9,0.55,153.54,105.86,5928.04,111.76,45.09,400,Very Poor
2024-01-04T13:00:00+00:00,Delhi,IN,5.0,564.48,682.3,0.0,161.77,105.86,7049.56,141.26,55.22,400,Very Poor
2024-01-04T14:00:00+00:00,Delhi,IN,5.0,619.85,759.01,0.0,160.4,98.23,7583.62,134.11,51.68,400,Very Poor
2024-01-04T15:00:00+00:00,Delhi,IN,5.0,629.35,779.61,0.0,148.06,81.06,7370.0,108.18,40.02,400,Very Poor
2024-01-04T16:00:00+00:00,Delhi,IN,5.0,611.02,761.26,0.0,126.12,64.85,6942.75,89.41,31.66,400,Very Poor
2024-01-04T17:00:00+00:00,Delhi,IN,5.0,587.98,732.6,0.0,104.19,56.27,6462.1,82.25,28.12,400,Very Poor
2024-01-04T18:00:00+00:00,Delhi,IN,5.0,534.57,660.52,0.0,85.68,45.3,5714.42,73.31,21.28,400,Very Poor
2024-01-04T19:00:00+00:00,Delhi,IN,5.0,452.65,549.74,0.0,72.66,33.38,4539.49,54.54,14.31,400,Very Poor
2024-01-04T20:00:00+00:00,Delhi,IN,5.0,416.85,496.25,0.0,66.49,29.8,3845.21,38.0,12.79,400,Very Poor
2024-01-04T21:00:00+00:00,Delhi,IN,5.0,411.44,480.55,0.0,62.38,28.85,3524.78,28.39,12.16,400,Very Poor
2024-01-04T22:00:00+00:00,Delhi,IN,5.0,413.46,467.5,0.0,58.26,28.61,3311.16,23.25,11.78,400,Very Poor
2024-01-04T23:00:00+00:00,Delhi,IN,5.0,416.33,455.3,0.0,53.47,28.37,3204.35,22.35,11.4,400,Very Poor
2024-01-05T00:00:00+00:00,Delhi,IN,5.0,425.47,455.95,0.0,50.72,30.04,3231.05,27.27,11.53,400,Very Poor
2024-01-05T01:00:00+00:00,Delhi,IN,5.0,460.56,493.79,0.0,51.41,41.01,3738.4,45.15,15.58,400,Very Poor
2024-01-05T02:00:00+00:00,Delhi,IN,5.0,535.95,592.01,0.0,56.21,60.08,5020.14,86.72,25.33,400,Very Poor
2024-01-05T03:00:00+00:00,Delhi,IN,5.0,577.43,653.57,0.04,65.8,75.34,5981.45,121.59,31.16,400,Very Poor
2024-01-05T04:00:00+00:00,Delhi,IN,5.0,497.35,563.41,0.92,90.48,100.14,4913.33,78.68,27.61,400,Very Poor
2024-01-05T05:00:00+00:00,Delhi,IN,5.0,491.21,559.26,3.8,100.08,127.79,4699.71,68.84,28.37,400,Very Poor
2024-01-05T06:00:00+00:00,Delhi,IN,5.0,502.61,574.45,8.4,109.67,152.59,4753.11,69.74,30.4,400,Very Poor
2024-01-05T07:00:00+00:00,Delhi,IN,5.0,320.22,359.74,18.6,95.96,186.92,2349.85,32.63,3.86,400,Very Poor
2024-01-05T08:00:00+00:00,Delhi,IN,5.0,269.09,301.7,14.31,100.08,196.46,1895.9,27.94,0.89,400,Very Poor
2024-01-05T09:00:00+00:00,Delhi,IN,5.0,268.85,301.0,7.51,120.64,225.07,1922.61,32.19,1.76,400,Very Poor
2024-01-05T10:00:00+00:00,Delhi,IN,5.0,280.25,315.23,3.8,132.98,244.14,2136.23,43.81,4.81,400,Very Poor
2024-01-05T11:00:00+00:00,Delhi,IN,5.0,314.81,358.32,1.7,134.35,240.33,2643.59,62.58,11.15,400,Very Poor
2024-01-05T12:00:00+00:00,Delhi,IN,5.0,340.14,393.5,0.3,130.24,205.99,3204.35,71.53,17.23,400,Very Poor
2024-01-05T13:00:00+00:00,Delhi,IN,5.0,365.77,432.47,0.0,127.49,150.68,3898.62,76.89,26.6,400,Very Poor
2024-01-05T14:00:00+00:00,Delhi,IN,5.0,394.0,473.45,0.0,119.27,97.27,4432.68,72.42,30.91,400,Very Poor
2024-01-05T15:00:00+00:00,Delhi,IN,5.0,394.02,476.03,0.0,100.08,63.9,4219.06,52.75,24.32,400,Very Poor
2024-01-05T16:00:00+00:00,Delhi,IN,5.0,398.48,481.29,0.0,82.25,48.64,4005.43,41.13,18.49,400,Very Poor
2024-01-05T17:00:00+00:00,Delhi,IN,5.0,428.96,518.25,0.0,72.66,45.3,4219.06,42.92,17.99,400,Very Poor
2024-01-05T18:00:00+00:00,Delhi,IN,5.0,435.3,524.53,0.0,67.17,39.1,4165.65,43.36,14.82,400,Very Poor
2024-01-05T19:00:00+00:00,Delhi,IN,5.0,408.65,485.72,0.0,61.69,29.8,3685.0,35.76,9.75,400,Very Poor
2024-01-05T20:00:00+00:00,Delhi,IN,5.0,385.55,450.49,0.0,55.52,23.37,3231.05,24.59,7.6,400,Very Poor
2024-01-05T21:00:00+00:00,Delhi,IN,5.0,371.39,426.53,0.01,50.04,21.46,2964.02,18.78,7.41,400,Very Poor
2024-01-05T22:00:00+00:00,Delhi,IN,5.0,359.04,403.4,0.03,43.87,20.74,2750.4,15.65,7.35,400,Very Poor
2024-01-05T23:00:00+00:00,Delhi,IN,5.0,344.57,377.22,0.04,39.07,20.27,2590.18,14.08,6.97,400,Very Poor
2024-01-06T00:00:00+00:00,Delhi,IN,5.0,337.96,365.93,0.03,37.01,21.22,2536.77,15.65,7.16,400,Very Poor
2024-01-06T01:00:00+00:00,Delhi,IN,5.0,345.87,376.17,0.01,37.7,26.23,2777.1,24.14,10.01,400,Very Poor
2024-01-06T02:00:00+00:00,Delhi,IN,5.0,382.68,430.73,0.0,41.13,37.19,3524.78,47.39,16.21,400,Very Poor
2024-01-06T03:00:00+00:00,Delhi,IN,5.0,406.78,469.81,0.06,46.61,47.21,4165.65,70.63,20.52,400,Very Poor
2024-01-06T04:00:00+00:00,Delhi,IN,5.0,425.06,497.52,0.55,54.15,58.65,4539.49,81.36,23.31,400,Very Poor
2024-01-06T05:00:00+00:00,Delhi,IN,5.0,442.36,520.5,2.15,64.43,71.53,4806.52,80.47,26.09,400,Very Poor
2024-01-06T06:00:00+00:00,Delhi,IN,5.0,417.28,491.72,6.97,76.77,82.02,4432.68,59.9,27.11,400,Very Poor
2024-01-06T07:00:00+00:00,Delhi,IN,5.0,215.45,245.58,37.91,69.23,127.79,1789.09,14.98,7.6,400,Very Poor
2024-01-06T08:00:00+00:00,Delhi,IN,5.0,180.18,203.15,51.5,61.69,123.98,1375.2,12.52,4.12,400,Very Poor
2024-01-06T09:00:00+00:00,Delhi,IN,5.0,175.07,197.62,54.36,64.43,131.61,1335.14,13.41,4.18,400,Very Poor
2024-01-06T10:00:00+00:00,Delhi,IN,5.0,214.76,248.56,32.19,85.0,125.89,2056.12,25.48,14.19,400,Very Poor
2024-01-06T11:00:00+00:00,Delhi,IN,5.0,292.03,345.94,7.96,105.56,115.39,3417.97,56.77,29.64,400,Very Poor
2024-01-06T12:00:00+00:00,Delhi,IN,5.0,359.2,434.12,0.66,112.41,119.21,4753.11,99.24,44.08,400,Very Poor
2024-01-06T13:00:00+00:00,Delhi,IN,5.0,420.9,516.28,0.01,115.16,123.98,5821.23,125.17,57.76,400,Very Poor
2024-01-06T14:00:00+00:00,Delhi,IN,5.0,469.36,580.5,0.0,113.79,102.04,6248.47,119.81,55.22,400,Very Poor
2024-01-06T15:00:00+00:00,Delhi,IN,5.0,473.95,584.04,0.0,104.19,70.57,5874.63,93.88,38.5,400,Very Poor
2024-01-06T16:00:00+00:00,Delhi,IN,5.0,437.36,533.39,0.0,87.74,47.21,5020.14,68.84,23.56,400,Very Poor
2024-01-06T17:00:00+00:00,Delhi,IN,5.0,386.57,468.58,0.0,72.66,36.72,4272.46,52.75,17.23,400,Very Poor
2024-01-06T18:00:00+00:00,Delhi,IN,5.0,322.23,387.46,0.0,63.06,27.42,3471.37,38.89,11.65,400,Very Poor
2024-01-06T19:00:00+00:00,Delhi,IN,5.0,258.99,306.08,0.0,55.52,19.07,2670.29,23.92,7.09,400,Very Poor
2024-01-06T20:00:00+00:00,Delhi,IN,5.0,231.88,270.14,0.02,49.35,16.93,2243.04,15.65,6.14,400,Very Poor
2024-01-06T21:00:00+00:00,Delhi,IN,5.0,224.97,259.53,0.06,44.55,17.17,2029.42,11.51,6.21,400,Very Poor
2024-01-06T22:00:00+00:00,Delhi,IN,5.0,225.9,258.55,0.1,40.44,17.64,1949.31,10.06,6.52,400,Very Poor
2024-01-06T23:00:00+00:00,Delhi,IN,5.0,230.11,260.12,0.06,37.36,18.12,1922.61,10.95,6.71,400,Very Poor
2024-01-07T00:00:00+00:00,Delhi,IN,5.0,239.9,266.77,0.01,35.3,19.55,2029.42,14.98,7.35,400,Very Poor
2024-01-07T01:00:00+00:00,Delhi,IN,5.0,270.96,299.35,0.0,34.96,25.27,2429.96,28.16,10.39,400,Very Poor
2024-01-07T02:00:00+00:00,Delhi,IN,5.0,334.67,378.65,0.0,36.33,34.81,3364.56,58.11,15.07,400,Very Poor
2024-01-07T03:00:00+00:00,Delhi,IN,5.0,388.86,445.89,0.2,38.39,41.01,4272.46,92.09,16.47,400,Very Poor
2024-01-07T04:00:00+00:00,Delhi,IN,5.0,424.98,490.01,1.52,41.47,46.25,4806.52,111.76,16.47,400,Very Poor
2024-01-07T05:00:00+00:00,Delhi,IN,5.0,467.62,540.21,4.56,54.15,55.31,5287.17,116.23,20.77,400,Very Poor
2024-01-07T06:00:00+00:00,Delhi,IN,5.0,516.96,595.24,12.87,90.48,68.66,5714.42,100.14,26.85,400,Very Poor
2024-01-07T07:00:00+00:00,Delhi,IN,5.0,314.53,345.51,64.37,94.59,164.03,2403.26,22.8,8.74,400,Very Poor
2024-01-07T08:00:00+00:00,Delhi,IN,5.0,289.28,315.96,69.38,97.33,200.27,1922.61,19.89,3.01,400,Very Poor
2024-01-07T09:00:00+00:00,Delhi,IN,5.0,297.29,324.89,59.37,117.9,251.77,1922.61,23.47,1.85,400,Very Poor
2024-01-07T10:00:00+00:00,Delhi,IN,5.0,328.6,363.86,34.33,142.57,259.4,2376.56,33.53,7.22,400,Very Poor
2024-01-07T11:00:00+00:00,Delhi,IN,5.0,386.02,435.79,10.1,171.36,234.6,3364.56,58.11,19.0,400,Very Poor
2024-01-07T12:00:00+00:00,Delhi,IN,5.0,440.03,502.01,1.07,194.67,217.44,4325.87,89.41,29.64,400,Very Poor
2024-01-07T13:00:00+00:00,Delhi,IN,5.0,504.21,582.05,0.0,205.64,213.62,5340.58,118.02,45.09,400,Very Poor
2024-01-07T14:00:00+00:00,Delhi,IN,5.0,590.01,691.2,0.0,211.12,196.46,6301.88,126.96,59.78,400,Very Poor
2024-01-07T15:00:00+00:00,Delhi,IN,5.0,636.99,755.89,0.0,219.35,160.22,6675.72,105.5,63.33,400,Very Poor
2024-01-07T16:00:00+00:00,Delhi,IN,5.0,611.1,728.09,0.0,208.38,113.49,6248.47,73.31,54.21,400,Very Poor
2024-01-07T17:00:00+00:00,Delhi,IN,5.0,573.39,681.94,0.0,180.96,78.2,5714.42,59.01,41.54,400,Very Poor
2024-01-07T18:00:00+00:00,Delhi,IN,5.0,529.5,625.01,0.0,148.06,54.36,5073.55,51.86,28.88,400,Very Poor
2024-01-07T19:00:00+00:00,Delhi,IN,5.0,461.59,537.54,0.0,116.53,38.15,4112.24,38.0,19.25,400,Very Poor
2024-01-07T20:00:00+00:00,Delhi,IN,5.0,430.5,496.17,0.0,91.85,35.29,3578.19,27.72,17.73,400,Very Poor
2024-01-07T21:00:00+00:00,Delhi,IN,5.0,413.56,475.41,0.01,75.4,33.38,3284.45,21.01,16.21,400,Very Poor
2024-01-07T22:00:00+00:00,Delhi,IN,5.0,393.43,451.43,0.03,63.06,31.95,3044.13,16.99,15.45,400,Very Poor
2024-01-07T23:00:00+00:00,Delhi,IN,5.0,376.7,426.66,0.04,56.89,30.99,2857.21,15.42,15.07,400,Very Poor
2024-01-08T00:00:00+00:00,Delhi,IN,5.0,373.48,412.61,0.02,55.52,31.47,2830.51,18.33,14.57,400,Very Poor
2024-01-08T01:00:00+00:00,Delhi,IN,5.0,411.59,450.63,0.0,57.58,39.1,3364.56,34.87,18.75,400,Very Poor
2024-01-08T02:00:00+00:00,Delhi,IN,5.0,523.81,580.98,0.0,63.75,59.13,5020.14,84.94,31.66,400,Very Poor
2024-01-08T03:00:00+00:00,Delhi,IN,5.0,656.23,731.57,0.06,71.97,82.02,7156.37,157.36,44.58,400,Very Poor
2024-01-08T04:00:00+00:00,Delhi,IN,5.0,761.85,852.12,0.51,78.83,98.23,8758.54,203.85,48.64,400,Very Poor
2024-01-08T05:00:00+00:00,Delhi,IN,5.0,783.63,885.08,2.75,90.48,100.14,8972.17,196.7,40.53,400,Very Poor
2024-01-08T06:00:00+00:00,Delhi,IN,5.0,736.51,835.15,12.52,128.87,99.18,8117.68,137.69,35.46,400,Very Poor
2024-01-08T07:00:00+00:00,Delhi,IN,5.0,366.35,405.58,35.05,120.64,247.96,2937.32,54.09,6.21,400,Very Poor
2024-01-08T08:00:00+00:00,Delhi,IN,5.0,304.01,334.5,40.77,123.38,259.4,2162.93,45.6,1.6,400,Very Poor
2024-01-08T09:00:00+00:00,Delhi,IN,5.0,283.7,311.65,43.99,130.24,247.96,1949.31,37.55,1.74,400,Very Poor
2024-01-08T10:00:00+00:00,Delhi,IN,5.0,320.46,358.42,27.54,148.06,223.16,2563.48,48.28,12.03,400,Very Poor
2024-01-08T11:00:00+00:00,Delhi,IN,5.0,398.98,458.42,7.69,172.73,230.79,4058.84,86.72,33.94,400,Very Poor
2024-01-08T12:00:00+00:00,Delhi,IN,5.0,478.27,557.8,0.78,194.67,259.4,5607.6,139.47,59.28,400,Very Poor
2024-01-08T13:00:00+00:00,Delhi,IN,5.0,576.04,680.74,0.0,219.35,305.18,7370.0,191.33,92.21,400,Very Poor
2024-01-08T14:00:00+00:00,Delhi,IN,5.0,696.32,828.05,0.0,230.31,335.69,8972.17,218.15,128.69,400,Very Poor
2024-01-08T15:00:00+00:00,Delhi,IN,5.0,785.2,935.57,0.0,224.83,331.88,9506.23,216.36,149.97,400,Very Poor
2024-01-08T16:00:00+00:00,Delhi,IN,5.0,796.77,947.12,0.0,205.64,293.73,9185.79,185.97,151.99,400,Very Poor
2024-01-08T17:00:00+00:00,Delhi,IN,5.0,867.94,1033.26,0.0,202.89,293.73,9719.85,187.75,162.12,400,Very Poor
2024-01-08T18:00:00+00:00,Delhi,IN,5.0,983.08,1176.55,0.0,219.35,301.36,10787.96,216.36,162.12,400,Very Poor
2024-01-08T19:00:00+00:00,Delhi,IN,5.0,1010.57,1222.76,0.0,222.09,267.03,10787.96,212.79,135.78,400,Very Poor
2024-01-08T20:00:00+00:00,Delhi,IN,5.0,955.89,1166.16,0.0,202.89,225.07,9826.66,180.6,112.47,400,Very Poor
2024-01-08T21:00:00+00:00,Delhi,IN,5.0,854.35,1040.23,0.0,172.73,192.64,8331.3,141.26,97.27,400,Very Poor
2024-01-08T22:00:00+00:00,Delhi,IN,5.0,696.89,822.77,0.0,123.38,118.26,6301.88,99.24,57.25,400,Very Poor
2024-01-08T23:00:00+00:00,Delhi,IN,5.0,555.94,644.34,0.0,85.68,68.66,4592.9,68.84,29.39,400,Very Poor
2024-01-09T00:00:00+00:00,Delhi,IN,5.0,480.94,545.94,0.0,68.55,51.02,3738.4,58.11,18.75,400,Very Poor
2024-01-10T01:00:00+00:00,Delhi,IN,5.0,210.58,225.85,36.84,35.64,29.09,1388.55,0.07,6.52,400,Very Poor
2024-01-10T02:00:00+00:00,Delhi,IN,5.0,230.04,252.56,18.78,52.78,36.72,1735.69,0.96,9.63,400,Very Poor
2024-01-10T03:00:00+00:00,Delhi,IN,5.0,237.95,265.17,8.85,60.32,42.44,2002.72,7.1,11.53,400,Very Poor
2024-01-10T04:00:00+00:00,Delhi,IN,5.0,228.68,258.02,20.38,50.04,48.16,2056.12,17.88,12.67,400,Very Poor
2024-01-10T05:00:00+00:00,Delhi,IN,5.0,213.41,242.99,35.05,44.55,53.88,1949.31,19.89,13.55,400,Very Poor
